Date,Open,High,Low,Close,Adj Close,Volume
2015-02-26,4438.500000,4483.250000,4419.250000,4444.250000,4444.250000,924775
2015-03-05,4444.250000,4464.750000,4304.250000,4307.500000,4307.500000,1223781
2015-03-12,4312.500000,4441.500000,4288.250000,4427.250000,4427.250000,987120
2015-03-19,4427.500000,4467.250000,4320.000000,4323.500000,4323.500000,659554
2015-03-26,4327.000000,4381.750000,4259.000000,4313.000000,4313.000000,1313053
2015-04-02,4316.750000,4379.250000,4262.000000,4374.750000,4374.750000,817823
2015-04-09,4378.000000,4441.500000,4352.750000,4421.750000,4421.750000,946231
2015-04-16,4426.250000,4459.500000,4324.000000,4445.250000,4445.250000,1044517
2015-04-23,4438.500000,4555.500000,4418.000000,4479.750000,4479.750000,1162731
2015-04-30,4474.000000,4503.500000,4341.500000,4373.000000,4373.000000,1339510
2015-05-07,4371.500000,4464.500000,4332.500000,4423.750000,4423.750000,1228636
2015-05-14,4425.750000,4534.000000,4412.750000,4505.500000,4505.500000,782299
2015-05-21,4500.000000,4551.000000,4455.000000,4542.250000,4542.250000,623557
2015-05-28,4540.500000,4547.500000,4480.750000,4527.500000,4527.500000,987068
2015-06-04,4526.750000,4527.250000,4390.250000,4488.750000,4488.750000,1171786
2015-06-11,4486.250000,4512.250000,4394.250000,4461.250000,4461.250000,833264
2015-06-18,4459.750000,4555.250000,4447.500000,4515.750000,4515.750000,570681
2015-06-25,4520.250000,4547.500000,4368.250000,4422.000000,4422.000000,1206628
2015-07-02,4423.750000,4448.000000,4334.500000,4346.500000,4346.500000,1016377
2015-07-09,4347.750000,4539.500000,4331.750000,4536.500000,4536.500000,1198088
2015-07-16,4534.500000,4686.000000,4531.000000,4617.000000,4617.000000,963454
2015-07-23,4621.750000,4638.750000,4497.000000,4565.000000,4565.000000,1257145
2015-07-30,4562.750000,4629.000000,4530.750000,4593.500000,4593.500000,1168101
2015-08-06,4591.750000,4608.750000,4431.250000,4533.500000,4533.500000,1270262
2015-08-13,4529.750000,4573.500000,4483.250000,4503.750000,4503.750000,1117732
2015-08-20,4502.250000,4513.000000,3908.250000,4214.500000,4214.500000,2772356
2015-08-27,4222.750000,4340.750000,4118.250000,4260.000000,4260.000000,2219592
2015-09-03,4260.250000,4369.500000,4155.000000,4255.000000,4255.000000,1321221
2015-09-10,4259.000000,4393.000000,4226.500000,4391.500000,4391.500000,979642
2015-09-17,4385.750000,4451.500000,4220.500000,4262.750000,4262.750000,907567
2015-09-24,4268.500000,4315.750000,4040.750000,4163.000000,4163.000000,1726466
2015-10-01,4154.000000,4333.750000,4111.500000,4323.750000,4323.750000,1626433
2015-10-08,4324.000000,4390.750000,4265.000000,4326.500000,4326.500000,1221237
2015-10-15,4335.250000,4456.250000,4332.500000,4399.250000,4399.250000,1170659
2015-10-22,4406.750000,4678.250000,4402.000000,4673.750000,4673.750000,1401915
2015-10-29,4664.250000,4729.750000,4625.000000,4709.500000,4709.500000,1052058
2015-11-05,4708.250000,4727.500000,4612.500000,4631.750000,4631.750000,1252650
2015-11-12,4631.250000,4656.750000,4455.000000,4652.500000,4652.500000,1385957
2015-11-19,4649.750000,4706.750000,4620.000000,4677.250000,4677.250000,1030667
2015-11-26,4679.750000,4739.500000,4653.500000,4694.500000,4694.500000,633285
2015-12-03,4698.750000,4730.250000,4579.000000,4616.000000,4616.000000,1440360
2015-12-10,4624.000000,4674.500000,4477.250000,4663.000000,4663.000000,1225417
2015-12-17,4656.750000,4689.500000,4511.750000,4606.750000,4606.750000,805154
2015-12-24,4607.750000,4697.750000,4571.500000,4646.000000,4646.000000,481456
2015-12-31,4648.000000,4655.000000,4386.000000,4446.750000,4446.750000,947978
2016-01-07,4450.250000,4458.500000,4167.250000,4175.750000,4175.750000,2181764
2016-01-14,4181.500000,4300.500000,3983.500000,4133.000000,4133.000000,2090860
2016-01-21,4130.750000,4260.000000,4085.750000,4127.000000,4127.000000,2125751
2016-01-28,4150.250000,4309.250000,4090.500000,4171.500000,4171.500000,1729556
2016-02-04,4169.750000,4206.500000,3883.000000,3967.250000,3967.250000,2353116
2016-02-11,3963.000000,4211.500000,3862.500000,4196.750000,4196.750000,1559712
2016-02-18,4208.250000,4234.000000,4084.750000,4208.500000,4208.500000,1193031
2016-02-25,4214.500000,4357.750000,4170.250000,4329.250000,4329.250000,1420680
2016-03-03,4326.750000,4355.000000,4251.500000,4294.500000,4294.500000,1297442
2016-03-10,4295.250000,4416.500000,4229.750000,4397.500000,4397.500000,965396
2016-03-17,4396.750000,4441.250000,4369.000000,4395.500000,4395.500000,717831
2016-03-24,4395.000000,4510.250000,4365.000000,4482.000000,4482.000000,771300
2016-03-31,4480.250000,4543.750000,4441.500000,4535.000000,4535.000000,1067511
2016-04-07,4533.500000,4553.750000,4426.500000,4547.750000,4547.750000,1231124
2016-04-14,4546.500000,4584.500000,4501.000000,4535.750000,4535.750000,1000802
2016-04-21,4533.250000,4551.750000,4372.250000,4423.750000,4423.750000,1103517
2016-04-28,4432.000000,4442.250000,4292.250000,4309.750000,4309.750000,1507641
2016-05-05,4308.250000,4403.000000,4271.000000,4351.500000,4351.500000,1130794
2016-05-12,4352.500000,4393.750000,4301.000000,4332.250000,4332.250000,1174756
2016-05-19,4337.750000,4489.500000,4280.750000,4474.750000,4474.750000,1229040
2016-05-26,4473.500000,4537.500000,4463.500000,4521.500000,4521.500000,780763
2016-06-02,4520.500000,4545.500000,4478.750000,4519.000000,4519.000000,919369
2016-06-09,4518.250000,4522.500000,4391.750000,4412.750000,4412.750000,760290
2016-06-16,4409.750000,4439.500000,4361.000000,4394.500000,4394.500000,758901
2016-06-23,4409.750000,4494.000000,4167.750000,4362.750000,4362.750000,1554323
2016-06-30,4375.000000,4451.500000,4338.500000,4439.500000,4439.500000,880290
2016-07-07,4434.750000,4584.500000,4427.500000,4561.250000,4561.250000,1045806
2016-07-14,4561.000000,4659.000000,4550.250000,4650.500000,4650.500000,902053
2016-07-21,4654.000000,4714.000000,4626.750000,4707.750000,4707.750000,873161
2016-07-28,4710.250000,4760.250000,4681.750000,4728.250000,4728.250000,1118550
2016-08-04,4726.500000,4807.750000,4715.000000,4781.500000,4781.500000,785946
2016-08-11,4782.250000,4835.250000,4772.000000,4804.000000,4804.000000,707287
2016-08-18,4808.250000,4836.750000,4770.750000,4786.250000,4786.250000,898248
2016-08-25,4786.500000,4817.500000,4751.500000,4773.750000,4773.750000,999311
2016-09-01,4774.000000,4839.500000,4749.500000,4828.750000,4828.750000,882932
2016-09-08,4827.750000,4837.000000,4629.000000,4732.500000,4732.500000,1031106
2016-09-15,4734.000000,4854.500000,4720.500000,4850.000000,4850.000000,855297
2016-09-22,4849.000000,4892.250000,4800.750000,4868.250000,4868.250000,1121809
2016-09-29,4866.750000,4888.500000,4811.750000,4873.500000,4873.500000,1217273
2016-10-06,4874.000000,4901.500000,4798.000000,4813.500000,4813.500000,1127204
2016-10-13,4804.750000,4856.750000,4754.500000,4830.250000,4830.250000,1155257
2016-10-20,4828.250000,4919.500000,4798.750000,4853.750000,4853.750000,952358
2016-10-27,4852.000000,4880.250000,4708.250000,4716.750000,4716.750000,1327579
2016-11-03,4700.000000,4837.500000,4558.500000,4820.500000,4820.500000,1288720
2016-11-10,4817.500000,4879.750000,4672.750000,4783.250000,4783.250000,2123066
2016-11-17,4781.500000,4884.750000,4778.000000,4849.500000,4849.500000,879681
2016-11-24,4850.500000,4897.750000,4812.500000,4816.000000,4816.000000,554236
2016-12-01,4819.000000,4854.750000,4701.500000,4841.750000,4841.750000,1150745
2016-12-08,4844.500000,4962.000000,4836.000000,4931.750000,4931.750000,847690
2016-12-15,4928.500000,4966.250000,4912.500000,4949.500000,4949.500000,563800
2016-12-22,4948.000000,4994.500000,4917.000000,4923.750000,4923.750000,370601
2016-12-29,4923.750000,4942.500000,4850.000000,4933.500000,4933.500000,671862
2017-01-05,4934.750000,5048.250000,4920.500000,5046.500000,5046.500000,826718
2017-01-12,5044.500000,5063.250000,4990.250000,5054.500000,5054.500000,765787
2017-01-19,5053.250000,5150.000000,5030.250000,5146.500000,5146.500000,884205
2017-01-26,5148.250000,5168.500000,5083.250000,5148.500000,5148.500000,928960
2017-02-02,5147.750000,5197.000000,5119.500000,5191.250000,5191.250000,938508
2017-02-09,5189.750000,5313.500000,5186.250000,5310.000000,5310.000000,782613
2017-02-16,5313.000000,5355.500000,5286.750000,5351.000000,5351.000000,741756
2017-02-23,5352.500000,5400.000000,5299.000000,5386.000000,5386.000000,930736
2017-03-02,5382.750000,5393.750000,5333.750000,5363.000000,5363.000000,972034
2017-03-09,5362.250000,5427.250000,5335.500000,5415.250000,5415.250000,808023
2017-03-16,5412.250000,5441.000000,5315.000000,5365.750000,5365.750000,802788
2017-03-23,5365.500000,5437.500000,5317.250000,5436.000000,5436.000000,1422148
2017-03-30,5436.000000,5481.250000,5403.250000,5416.250000,5416.250000,963581
2017-04-06,5414.000000,5443.750000,5358.000000,5372.750000,5372.750000,1362479
2017-04-13,5369.000000,5430.750000,5347.500000,5397.750000,5397.750000,924737
2017-04-20,5398.000000,5562.500000,5394.500000,5536.250000,5536.250000,1024096
2017-04-27,5535.250000,5641.750000,5534.250000,5613.250000,5613.250000,937507
2017-05-04,5609.000000,5687.750000,5603.750000,5675.500000,5675.500000,954511
2017-05-11,5674.750000,5727.250000,5574.750000,5578.750000,5578.750000,964060
2017-05-18,5575.500000,5734.500000,5550.500000,5731.250000,5731.250000,1738553
2017-05-25,5731.500000,5819.250000,5731.250000,5793.250000,5793.250000,792575
2017-06-01,5804.750000,5893.250000,5780.500000,5879.750000,5879.750000,1331420
2017-06-08,5877.750000,5898.750000,5634.500000,5725.250000,5725.250000,1371684
2017-06-15,5722.750000,5796.500000,5633.750000,5796.000000,5796.000000,1114830
2017-06-22,5793.250000,5852.000000,5632.000000,5763.500000,5763.500000,1495517
2017-06-29,5766.250000,5776.000000,5560.250000,5651.500000,5651.500000,1570492
2017-07-06,5650.500000,5790.000000,5580.000000,5785.750000,5785.750000,1554613
2017-07-13,5786.750000,5925.000000,5777.250000,5918.250000,5918.250000,1198086
2017-07-20,5919.500000,5958.000000,5890.500000,5948.000000,5948.000000,1185241
2017-07-27,5961.000000,5995.750000,5844.750000,5910.750000,5910.750000,1577599
2017-08-03,5911.250000,5972.750000,5861.750000,5922.500000,5922.500000,1406051
2017-08-10,5922.500000,5949.500000,5761.000000,5923.500000,5923.500000,1831937
2017-08-17,5920.000000,5923.750000,5752.250000,5848.000000,5848.000000,1917401
2017-08-24,5845.750000,5944.000000,5777.250000,5935.000000,5935.000000,1525385
2017-08-31,5936.250000,6019.750000,5889.500000,5955.000000,5955.000000,1263309
2017-09-07,5952.000000,6005.250000,5907.500000,6002.000000,6002.000000,1113874
2017-09-14,6001.750000,6018.250000,5930.500000,5978.500000,5978.500000,864878
2017-09-21,5976.000000,5980.250000,5842.000000,5941.000000,5941.000000,1754857
2017-09-28,5936.000000,6015.500000,5911.250000,6004.000000,6004.000000,1370459
2017-10-05,6005.000000,6088.500000,6001.000000,6082.500000,6082.500000,1118757
2017-10-12,6083.500000,6132.750000,6066.500000,6119.250000,6119.250000,881534
2017-10-19,6121.250000,6129.500000,6011.000000,6064.500000,6064.500000,1218251
2017-10-26,6065.000000,6284.500000,6035.000000,6240.750000,6240.750000,1792274
2017-11-02,6230.000000,6345.500000,6192.500000,6341.500000,6341.500000,1506829
2017-11-09,6342.250000,6351.500000,6230.750000,6266.250000,6266.250000,1607409
2017-11-16,6264.500000,6395.250000,6260.750000,6389.500000,6389.500000,1434915
2017-11-23,6388.250000,6429.500000,6283.000000,6305.500000,6305.500000,746209
2017-11-30,6306.500000,6391.750000,6231.750000,6293.000000,6293.000000,2656067
2017-12-07,6298.000000,6418.750000,6288.750000,6398.500000,6398.500000,1151899
2017-12-14,6396.750000,6545.750000,6384.000000,6489.000000,6489.000000,970663
2017-12-21,6486.750000,6520.750000,6432.250000,6454.000000,6454.000000,753616
2017-12-28,6452.250000,6591.250000,6383.250000,6584.500000,6584.500000,766442
2018-01-04,6583.750000,6707.250000,6580.000000,6677.250000,6677.250000,1163703
2018-01-11,6676.500000,6845.750000,6664.250000,6823.750000,6823.750000,1354274
2018-01-18,6818.000000,7004.250000,6796.000000,6931.250000,6931.250000,1595333
2018-01-25,6933.500000,7047.250000,6902.000000,6962.500000,6962.500000,2199361
2018-02-01,6973.000000,6987.750000,6260.250000,6555.750000,6555.750000,3294237
2018-02-08,6542.000000,6692.750000,6164.000000,6687.000000,6687.000000,2809943
2018-02-15,6681.000000,6885.500000,6669.750000,6760.500000,6760.500000,1848575
2018-02-22,6756.500000,7009.000000,6694.750000,6865.000000,6865.000000,1676107
2018-03-01,6879.500000,6939.250000,6646.000000,6924.500000,6924.500000,2774889
2018-03-08,6922.750000,7188.500000,6913.500000,7033.500000,7033.500000,1506912
2018-03-15,7036.750000,7076.750000,6821.250000,6884.000000,6884.000000,1433958
2018-03-22,6883.250000,6915.000000,6421.000000,6477.250000,6477.250000,3256892
2018-03-29,6490.750000,6653.750000,6306.750000,6582.500000,6582.500000,2948069
2018-04-05,6582.000000,6663.250000,6408.500000,6592.750000,6592.750000,2786686
2018-04-12,6596.250000,6867.000000,6589.750000,6843.500000,6843.500000,1916374
2018-04-19,6855.250000,6866.250000,6429.250000,6555.750000,6555.750000,2108043
2018-04-26,6583.250000,6772.000000,6559.250000,6633.500000,6633.500000,2201879
2018-05-03,6630.750000,6901.250000,6538.000000,6896.000000,6896.000000,2004180
2018-05-10,6896.000000,7013.500000,6854.250000,6937.250000,6937.250000,1561416
2018-05-17,6935.250000,6962.000000,6829.750000,6957.000000,6957.000000,1477351
2018-05-24,6956.750000,7003.750000,6885.250000,6987.250000,6987.250000,1575371
2018-05-31,6978.500000,7222.250000,6958.250000,7215.000000,7215.000000,1532004
2018-06-07,7217.500000,7262.750000,7077.750000,7204.250000,7204.250000,1212968
2018-06-14,7203.250000,7336.500000,7157.500000,7313.250000,7313.250000,1270076
2018-06-21,7315.250000,7358.500000,6988.000000,6998.250000,6998.250000,2065548
2018-06-28,6998.750000,7165.000000,6956.000000,7023.750000,7023.750000,1805121
2018-07-05,7023.000000,7335.500000,7015.000000,7253.750000,7253.750000,1555498
2018-07-12,7259.750000,7437.750000,7249.500000,7404.500000,7404.500000,1546799
2018-07-19,7400.000000,7530.000000,7311.500000,7469.500000,7469.500000,1586135
